               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13501,            0.020756,                   0,                   0,                   0,                   0,                   0,             0.12953,            0.019354,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.13469,            0.020414,                   0,                   0,                   0,                   0,                   0,             0.12795,             0.01922,                   0,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.13231,            0.019938,                   0,                   0,                   0,                   0,                   0,             0.12579,            0.019283,                   0,          0.00010999,          0.00010999,             0.09901
                   3,             0.12956,            0.019259,                   0,                   0,                   0,                   0,                   0,             0.12295,            0.019552,                   0,          0.00014997,          0.00014997,             0.09865
                   4,             0.12609,            0.019875,                   0,                   0,                   0,                   0,                   0,             0.11929,            0.020128,                   0,          0.00018993,          0.00018993,             0.09829
                   5,             0.12404,             0.01919,                   0,                   0,                   0,                   0,                   0,             0.11468,            0.020988,                   0,          0.00022987,          0.00022987,             0.09793
                   6,             0.12098,            0.017514,                   0,                   0,                   0,                   0,                   0,              0.1102,            0.021805,                   0,          0.00026979,          0.00026979,             0.09757
                   7,             0.11759,            0.020215,                   0,                   0,                   0,                   0,                   0,             0.10571,            0.022558,                   0,          0.00030967,          0.00030967,             0.09721
                   8,             0.11431,            0.020094,                   0,                   0,                   0,                   0,                   0,             0.10282,            0.022775,                   0,          0.00034951,          0.00034951,             0.09685
                   9,             0.10681,            0.020045,                   0,           0.0026671,             0.28571,           0.0011311,          0.00011311,            0.099273,            0.023263,                   0,          0.00038931,          0.00038931,            0.096489
                  10,             0.10617,             0.01846,                   0,           0.0083943,             0.57143,           0.0053159,           0.0013093,            0.093283,            0.024215,                   0,          0.00042906,          0.00042906,            0.096129
                  11,             0.10113,            0.019007,                   0,            0.023526,             0.28571,            0.012235,           0.0023104,            0.089153,            0.024682,                   0,          0.00046875,          0.00046875,            0.095769
                  12,            0.098677,            0.019286,                   0,            0.037597,             0.28571,            0.018641,           0.0040812,            0.087978,            0.024793,                   0,          0.00050839,          0.00050839,            0.095408
                  13,            0.099373,            0.018062,                   0,            0.026164,             0.28571,             0.01415,           0.0026813,            0.087267,            0.024834,                   0,          0.00054796,          0.00054796,            0.095048
                  14,            0.090815,            0.020125,                   0,             0.03333,             0.28571,            0.022815,           0.0064122,            0.080498,            0.025919,                   0,          0.00058747,          0.00058747,            0.094687
                  15,            0.092488,            0.020363,                   0,            0.055976,             0.28571,            0.031506,           0.0082415,            0.079133,            0.025983,                   0,           0.0006269,           0.0006269,            0.094327
                  16,            0.089913,            0.020042,                   0,             0.10248,             0.42857,            0.051672,           0.0075075,            0.076699,            0.026252,                   0,          0.00066625,          0.00066625,            0.093966
                  17,            0.083641,            0.021009,                   0,            0.053231,             0.13688,            0.018684,           0.0032439,            0.077382,            0.025914,                   0,          0.00070551,          0.00070551,            0.093606
                  18,            0.084376,            0.022748,                   0,             0.21644,             0.42857,             0.11141,            0.022765,            0.072713,            0.026596,                   0,          0.00074469,          0.00074469,            0.093245
                  19,            0.081769,             0.02134,                   0,             0.24085,             0.42857,             0.15849,            0.023476,            0.072022,            0.026345,                   0,          0.00078377,          0.00078377,            0.092884
                  20,            0.076832,            0.020018,                   0,             0.48272,              0.2709,             0.17372,            0.022377,            0.071902,            0.026384,                   0,          0.00082275,          0.00082275,            0.092523
                  21,            0.076498,            0.019222,                   0,              0.3613,             0.24885,             0.18088,               0.026,            0.066443,            0.027096,                   0,          0.00086162,          0.00086162,            0.092162
                  22,            0.072707,            0.021383,                   0,               0.392,             0.28571,             0.19318,             0.02812,             0.06481,            0.027081,                   0,          0.00090038,          0.00090038,              0.0918
                  23,             0.07202,            0.020603,                   0,              0.3529,             0.42857,              0.2081,            0.048264,            0.063938,            0.027058,                   0,          0.00093903,          0.00093903,            0.091439
                  24,            0.070552,            0.020666,                   0,             0.24914,             0.28571,             0.16523,            0.037265,            0.067352,            0.026098,                   0,          0.00097756,          0.00097756,            0.091078
                  25,            0.066942,            0.018748,                   0,             0.32461,             0.27637,             0.18992,            0.041134,            0.062388,            0.026837,                   0,            0.001016,            0.001016,            0.090716
                  26,             0.06922,             0.01831,                   0,             0.31845,             0.28571,             0.19752,            0.044009,            0.061602,            0.026655,                   0,           0.0010542,           0.0010542,            0.090354
                  27,            0.068645,            0.021307,                   0,             0.32411,             0.27583,             0.19226,            0.041676,            0.058104,            0.027279,                   0,           0.0010924,           0.0010924,            0.089992
                  28,            0.069904,            0.019181,                   0,             0.33271,             0.71429,             0.27711,            0.046893,             0.05868,            0.026702,                   0,           0.0011304,           0.0011304,             0.08963
                  29,             0.06476,             0.02239,                   0,             0.26348,             0.57143,             0.24253,            0.089917,            0.056632,             0.02693,                   0,           0.0011682,           0.0011682,            0.089268
                  30,            0.060629,            0.020591,                   0,             0.23414,             0.57143,             0.23761,            0.074878,            0.053745,             0.02702,                   0,           0.0012059,           0.0012059,            0.088906
                  31,            0.055516,            0.021549,                   0,              0.2653,              0.5677,             0.22291,            0.077556,            0.054045,            0.026279,                   0,           0.0012435,           0.0012435,            0.088543
                  32,            0.055543,             0.02161,                   0,             0.30641,             0.69529,             0.26921,            0.087773,            0.054625,             0.02578,                   0,           0.0012809,           0.0012809,            0.088181
                  33,            0.059067,            0.020624,                   0,             0.45078,             0.71429,              0.4274,            0.088205,            0.053447,            0.025748,                   0,           0.0013181,           0.0013181,            0.087818
                  34,            0.053068,            0.017639,                   0,             0.41347,             0.71429,             0.31321,             0.07538,            0.054476,            0.025305,                   0,           0.0013551,           0.0013551,            0.087455
                  35,            0.057243,            0.019464,                   0,             0.55544,             0.71429,             0.49322,             0.11375,            0.049885,            0.025649,                   0,            0.001392,            0.001392,            0.087092
                  36,            0.057328,            0.021496,                   0,             0.49704,             0.85714,             0.50231,             0.12038,            0.056999,            0.023653,                   0,           0.0014287,           0.0014287,            0.086729
                  37,            0.054701,            0.019186,                   0,             0.33003,             0.85714,             0.44403,             0.12604,            0.047062,            0.025443,                   0,           0.0014652,           0.0014652,            0.086365
                  38,            0.050223,            0.020133,                   0,             0.49662,             0.71429,              0.4854,              0.1606,            0.052928,            0.023897,                   0,           0.0015016,           0.0015016,            0.086002
                  39,            0.051826,             0.01908,                   0,             0.39548,             0.84207,             0.45123,             0.13102,            0.050193,            0.023859,                   0,           0.0015377,           0.0015377,            0.085638
                  40,            0.053268,            0.020468,                   0,             0.56771,             0.56399,             0.50431,             0.16123,            0.050772,            0.023245,                   0,           0.0015736,           0.0015736,            0.085274
                  41,            0.053343,             0.01638,                   0,             0.66615,             0.57031,             0.55337,             0.15358,            0.055681,            0.022621,                   0,           0.0016094,           0.0016094,            0.084909
                  42,            0.051164,            0.016495,                   0,             0.65649,             0.54963,             0.58554,             0.19194,             0.05208,            0.022849,                   0,           0.0016449,           0.0016449,            0.084545
                  43,            0.058612,            0.016175,                   0,             0.66164,             0.57143,             0.54145,             0.14286,            0.066175,            0.020675,                   0,           0.0016802,           0.0016802,             0.08418
                  44,            0.062824,            0.017455,                   0,            0.054447,             0.71429,            0.049863,           0.0096616,            0.073133,            0.019467,                   0,           0.0017153,           0.0017153,            0.083815
                  45,            0.063173,            0.017772,                   0,             0.49517,             0.71429,             0.41353,             0.12746,             0.06556,            0.020331,                   0,           0.0017502,           0.0017502,             0.08345
                  46,            0.061268,            0.014366,                   0,             0.24772,             0.28571,             0.15231,            0.032923,            0.078239,            0.018054,                   0,           0.0017849,           0.0017849,            0.083085
                  47,            0.067028,            0.015576,                   0,             0.54064,             0.71429,             0.45782,             0.10433,            0.062212,            0.021003,                   0,           0.0018193,           0.0018193,            0.082719
                  48,            0.057283,            0.019706,                   0,               0.666,             0.85487,             0.61585,               0.204,            0.054598,            0.021707,                   0,           0.0018535,           0.0018535,            0.082354
                  49,            0.047297,            0.015422,                   0,             0.69957,             0.71429,             0.65742,              0.2296,            0.047886,            0.022607,                   0,           0.0018875,           0.0018875,            0.081987
                  50,            0.051103,            0.017258,                   0,             0.52635,             0.71429,             0.49506,             0.12029,            0.056234,            0.020856,                   0,           0.0019212,           0.0019212,            0.081621
                  51,            0.056406,             0.01847,                   0,             0.33953,             0.71429,             0.32171,            0.089002,            0.076528,            0.017364,                   0,           0.0019547,           0.0019547,            0.081255
                  52,            0.069647,            0.014016,                   0,             0.22529,             0.42857,             0.17351,            0.055106,            0.070725,            0.018771,                   0,           0.0019879,           0.0019879,            0.080888
                  53,             0.06168,            0.015929,                   0,             0.28556,             0.57102,             0.29627,            0.088976,            0.062303,            0.020431,                   0,           0.0020209,           0.0020209,            0.080521
                  54,            0.057205,            0.015407,                   0,             0.43934,             0.57143,             0.35386,             0.14314,            0.054731,            0.021085,                   0,           0.0020536,           0.0020536,            0.080154
                  55,             0.05792,            0.015806,                   0,             0.59838,             0.85194,             0.55047,              0.2372,            0.063383,            0.019668,                   0,           0.0020861,           0.0020861,            0.079786
                  56,            0.062154,            0.014433,                   0,             0.48499,             0.80998,             0.43286,             0.16459,            0.065661,            0.019193,                   0,           0.0021183,           0.0021183,            0.079418
                  57,            0.057881,            0.015293,                   0,             0.49836,             0.85199,             0.56497,             0.12466,             0.05236,            0.021745,                   0,           0.0021502,           0.0021502,             0.07905
                  58,            0.052151,            0.017481,                   0,             0.59563,             0.84311,             0.54441,             0.10615,            0.050514,            0.021878,                   0,           0.0021819,           0.0021819,            0.078682
                  59,            0.052878,            0.016158,                   0,             0.49433,             0.71429,             0.46375,             0.14543,            0.051787,            0.021484,                   0,           0.0022133,           0.0022133,            0.078313
                  60,            0.053851,            0.016779,                   0,             0.33261,             0.71211,             0.31805,            0.087186,             0.05909,            0.019938,                   0,           0.0022444,           0.0022444,            0.077944
                  61,            0.053365,            0.017755,                   0,             0.37212,             0.85714,             0.46973,             0.11198,            0.051176,              0.0209,                   0,           0.0022752,           0.0022752,            0.077575
                  62,             0.04784,            0.015873,                   0,             0.55388,             0.71429,             0.57137,             0.22947,             0.05492,            0.019977,                   0,           0.0023057,           0.0023057,            0.077206
                  63,            0.047425,            0.016116,                   0,             0.83287,             0.71228,              0.6821,             0.26908,            0.046687,            0.021016,                   0,            0.002336,            0.002336,            0.076836
                  64,            0.046651,            0.014545,                   0,             0.44406,             0.57064,             0.47759,             0.21203,            0.048844,            0.020963,                   0,           0.0023659,           0.0023659,            0.076466
                  65,            0.052346,            0.014714,                   0,             0.38203,             0.71429,             0.43458,            0.091162,            0.061874,            0.018491,                   0,           0.0023956,           0.0023956,            0.076096
                  66,            0.054798,            0.015952,                   0,              0.4964,             0.85714,             0.61174,             0.28119,            0.049902,            0.020384,                   0,           0.0024249,           0.0024249,            0.075725
                  67,            0.045336,            0.017137,                   0,             0.66373,             0.57143,             0.61979,             0.27367,            0.047634,            0.020697,                   0,            0.002454,            0.002454,            0.075354
                  68,            0.051275,            0.013665,                   0,             0.39845,             0.28424,             0.21146,            0.038943,            0.064061,            0.018562,                   0,           0.0024827,           0.0024827,            0.074983
                  69,             0.05898,            0.014508,                   0,             0.31152,             0.71429,             0.29742,            0.043251,            0.053881,            0.019905,                   0,           0.0025111,           0.0025111,            0.074611
                  70,            0.055084,            0.015707,                   0,             0.49636,             0.71429,             0.39902,            0.059691,            0.060315,            0.018451,                   0,           0.0025392,           0.0025392,            0.074239
                  71,            0.052803,            0.014509,                   0,             0.74409,             0.85714,             0.77944,             0.26232,            0.045072,            0.021073,                   0,            0.002567,            0.002567,            0.073867
                  72,            0.046494,            0.016959,                   0,             0.49886,             0.85355,              0.6342,             0.13569,            0.046694,            0.020492,                   0,           0.0025945,           0.0025945,            0.073495
                  73,            0.047186,             0.01558,                   0,             0.54545,             0.85712,             0.57009,             0.25418,             0.04869,            0.019719,                   0,           0.0026217,           0.0026217,            0.073122
                  74,            0.047549,            0.014848,                   0,             0.71296,             0.71429,             0.71755,             0.24207,             0.04568,            0.019778,                   0,           0.0026485,           0.0026485,            0.072749
                  75,            0.048824,            0.014406,                   0,             0.71173,             0.70663,               0.589,             0.15073,            0.047591,            0.019554,                   0,            0.002675,            0.002675,            0.072375
                  76,            0.048666,            0.012355,                   0,             0.71421,             0.71407,             0.70679,              0.3663,            0.048213,             0.01917,                   0,           0.0027012,           0.0027012,            0.072001
                  77,            0.045613,            0.014962,                   0,             0.62416,             0.71429,             0.70681,             0.30597,            0.041234,            0.020029,                   0,            0.002727,            0.002727,            0.071627
                  78,            0.041748,            0.016086,                   0,             0.49925,              0.8548,             0.69278,             0.29264,            0.040385,            0.019976,                   0,           0.0027525,           0.0027525,            0.071253
                  79,            0.045123,            0.013333,                   0,             0.31228,             0.71429,             0.43822,            0.089941,            0.051401,            0.018845,                   0,           0.0027777,           0.0027777,            0.070878
                  80,            0.050919,            0.013952,                   0,             0.35307,             0.70251,             0.36125,             0.10468,            0.051781,            0.018382,                   0,           0.0028025,           0.0028025,            0.070503
                  81,            0.046446,             0.01439,                   0,             0.66666,             0.85712,             0.71927,             0.33408,            0.039207,            0.019843,                   0,            0.002827,            0.002827,            0.070127
                  82,            0.049123,            0.013763,                   0,              0.5444,             0.85384,             0.56056,             0.13979,            0.056462,             0.01771,                   0,           0.0028511,           0.0028511,            0.069751
                  83,            0.054649,            0.011307,                   0,             0.55497,             0.71277,             0.66473,             0.15257,             0.04865,            0.018724,                   0,           0.0028749,           0.0028749,            0.069375
                  84,            0.051436,            0.015474,                   0,             0.60986,             0.71429,             0.62158,             0.13885,             0.04699,             0.01927,                   0,           0.0028983,           0.0028983,            0.068998
                  85,            0.044685,            0.013905,                   0,                   1,             0.71426,             0.90167,             0.53748,            0.042719,            0.019567,                   0,           0.0029214,           0.0029214,            0.068621
                  86,            0.040501,            0.015195,                   0,             0.66645,             0.85641,             0.65305,             0.26733,            0.044062,            0.019596,                   0,           0.0029442,           0.0029442,            0.068244
                  87,            0.045911,            0.016058,                   0,             0.85393,             0.85714,             0.87265,             0.40248,            0.049062,            0.018284,                   0,           0.0029665,           0.0029665,            0.067867
                  88,            0.042795,            0.013983,                   0,             0.74979,             0.85632,             0.83944,             0.31559,            0.033755,            0.020032,                   0,           0.0029885,           0.0029885,            0.067489
                  89,             0.04446,            0.013781,                   0,             0.42789,             0.85714,              0.4565,             0.21619,            0.049477,            0.017609,                   0,           0.0030102,           0.0030102,             0.06711
                  90,             0.04957,            0.012378,                   0,             0.37409,             0.85714,             0.53793,             0.27311,            0.053934,            0.016662,                   0,           0.0030315,           0.0030315,            0.066731
                  91,            0.056922,            0.012957,                   0,             0.49902,             0.85714,             0.53836,             0.20155,            0.054299,            0.016512,                   0,           0.0030524,           0.0030524,            0.066352
                  92,            0.054644,            0.014204,                   0,             0.49889,             0.71144,             0.65471,             0.19303,            0.043878,            0.018194,                   0,           0.0030729,           0.0030729,            0.065973
                  93,             0.04452,            0.013909,                   0,              0.5449,              0.8554,              0.6665,             0.19021,            0.050531,            0.017056,                   0,           0.0030931,           0.0030931,            0.065593
                  94,            0.043385,            0.014965,                   0,             0.49973,             0.99898,             0.76914,             0.33478,            0.039449,            0.018399,                   0,           0.0031129,           0.0031129,            0.065213
                  95,            0.042694,            0.014506,                   0,             0.41098,                   1,             0.62766,             0.13711,            0.040313,            0.017963,                   0,           0.0031324,           0.0031324,            0.064832
                  96,            0.042861,            0.014828,                   0,             0.55388,             0.71429,             0.64779,             0.20313,            0.038145,            0.018131,                   0,           0.0031515,           0.0031515,            0.064451
                  97,             0.04523,            0.011611,                   0,             0.74592,             0.42857,             0.61685,              0.2285,            0.053434,             0.01591,                   0,           0.0031702,           0.0031702,             0.06407
                  98,            0.048615,            0.012432,                   0,             0.62417,             0.71429,              0.6989,             0.23671,             0.04685,            0.016677,                   0,           0.0031885,           0.0031885,            0.063688
                  99,            0.049264,             0.01204,                   0,             0.82882,             0.71429,             0.78825,             0.35258,            0.046227,            0.016687,                   0,           0.0032064,           0.0032064,            0.063306
                 100,            0.044943,            0.011967,                   0,             0.57887,                   1,             0.76281,             0.34179,             0.04171,            0.017874,                   0,            0.003224,            0.003224,            0.062924
                 101,            0.042939,            0.013403,                   0,             0.41106,             0.71429,             0.58825,             0.31753,            0.044075,            0.017535,                   0,           0.0032412,           0.0032412,            0.062541
                 102,            0.043988,            0.014441,                   0,             0.36742,                   1,             0.54208,              0.1481,            0.047253,            0.016954,                   0,            0.003258,            0.003258,            0.062158
                 103,            0.044747,            0.014499,                   0,             0.83237,             0.71429,               0.809,             0.34638,            0.039496,            0.017434,                   0,           0.0032744,           0.0032744,            0.061774
                 104,            0.040577,            0.013336,                   0,             0.71321,             0.71429,             0.75114,             0.27256,            0.040818,            0.017063,                   0,           0.0032905,           0.0032905,             0.06139
                 105,            0.040945,             0.01351,                   0,             0.58161,                   1,             0.78033,             0.31039,             0.03923,            0.016569,                   0,           0.0033062,           0.0033062,            0.061006
                 106,            0.039024,            0.011901,                   0,             0.49895,             0.85714,             0.62444,             0.25846,            0.046605,            0.015978,                   0,           0.0033214,           0.0033214,            0.060621
                 107,            0.043801,            0.011796,                   0,              0.4991,             0.71429,             0.54044,             0.14508,            0.045939,            0.015623,                   0,           0.0033363,           0.0033363,            0.060236
                 108,            0.044342,             0.01035,                   0,               0.875,             0.99999,                0.96,             0.54935,            0.032961,            0.017249,                   0,           0.0033509,           0.0033509,            0.059851
                 109,            0.038669,            0.013985,                   0,             0.87427,                   1,                0.96,             0.58334,            0.035835,            0.016849,                   0,            0.003365,            0.003365,            0.059465
                 110,            0.034679,            0.011955,                   0,             0.87497,             0.99973,              0.9775,              0.5562,            0.034235,            0.016224,                   0,           0.0033787,           0.0033787,            0.059079
                 111,            0.039466,            0.011009,                   0,             0.85654,             0.85355,             0.92409,              0.4274,            0.043881,            0.014824,                   0,           0.0033921,           0.0033921,            0.058692
                 112,            0.045577,            0.011243,                   0,             0.69946,              0.9977,             0.74814,             0.19694,            0.052075,            0.014596,                   0,           0.0034051,           0.0034051,            0.058305
                 113,            0.048959,            0.010299,                   0,             0.79746,             0.57143,             0.73478,             0.09417,            0.050296,            0.014726,                   0,           0.0034177,           0.0034177,            0.057918
                 114,            0.045589,            0.010081,                   0,             0.99787,             0.71429,             0.89742,             0.42501,            0.038394,            0.015884,                   0,           0.0034299,           0.0034299,             0.05753
