               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13319,            0.020412,                   0,          0.00035224,            0.066667,          0.00012718,          5.0871e-05,             0.13133,              0.0183,                   0,               8e-05,               8e-05,             0.09928
                   1,             0.12984,            0.019261,                   0,          0.00023634,            0.066667,          0.00012087,          6.0434e-05,              0.1253,            0.018265,                   0,             0.00017,             0.00017,             0.09847
                   2,             0.12402,            0.019168,                   0,          0.00046792,             0.13333,          0.00026568,           5.212e-05,              0.1152,            0.019507,                   0,          0.00025998,          0.00025998,             0.09766
                   3,             0.11514,            0.020108,                   0,          0.00023146,            0.066667,          0.00012012,          1.2012e-05,             0.10627,            0.020587,                   0,          0.00034993,          0.00034993,             0.09685
                   4,             0.10955,            0.019145,                   0,          0.00044998,             0.13333,          0.00025725,          3.7707e-05,            0.095262,             0.02158,                   0,          0.00043985,          0.00043985,             0.09604
                   5,            0.089893,            0.018269,                   0,           0.0030108,            0.066667,           0.0014685,          0.00026546,            0.084873,            0.022455,                   0,          0.00052971,          0.00052971,             0.09523
                   6,            0.092953,            0.019308,                   0,            0.012809,             0.13333,           0.0034931,          0.00066414,            0.079802,            0.022852,                   0,          0.00061951,          0.00061951,             0.09442
                   7,            0.086766,            0.019603,                   0,           0.0060388,            0.066667,           0.0032598,          0.00077009,            0.072428,            0.023645,                   0,          0.00070924,          0.00070924,            0.093609
                   8,            0.083263,            0.020387,                   0,           0.0094342,                 0.6,           0.0077933,           0.0014038,            0.079631,            0.022477,                   0,          0.00079888,          0.00079888,            0.092799
                   9,            0.076761,            0.024531,                   0,            0.070745,                 0.2,            0.039013,           0.0060864,            0.065459,            0.024129,                   0,          0.00088842,          0.00088842,            0.091988
                  10,            0.071411,            0.021179,                   0,             0.10607,             0.46667,             0.13238,            0.033418,            0.065801,            0.023696,                   0,          0.00097785,          0.00097785,            0.091178
                  11,            0.072322,            0.019823,                   0,             0.29859,                 0.6,             0.32217,            0.066382,            0.058241,            0.024019,                   0,           0.0010672,           0.0010672,            0.090367
                  12,            0.067098,             0.02049,                   0,             0.38527,             0.46667,             0.29945,            0.081952,            0.053812,            0.024029,                   0,           0.0011563,           0.0011563,            0.089556
                  13,            0.061255,            0.019083,                   0,             0.46969,             0.65012,             0.46945,             0.13306,            0.055501,            0.022908,                   0,           0.0012454,           0.0012454,            0.088745
                  14,            0.059547,            0.019563,                   0,             0.52062,             0.79657,             0.59575,             0.24777,             0.05257,            0.022487,                   0,           0.0013342,           0.0013342,            0.087934
                  15,             0.04972,            0.018966,                   0,             0.64107,             0.59566,             0.64566,             0.24394,            0.057935,            0.020483,                   0,            0.001423,            0.001423,            0.087123
                  16,            0.058224,            0.020695,                   0,             0.73307,             0.73241,             0.74229,             0.24153,            0.048617,            0.022066,                   0,           0.0015115,           0.0015115,            0.086311
                  17,             0.04661,            0.017522,                   0,             0.90755,             0.73333,              0.8252,             0.29559,            0.047012,            0.021016,                   0,           0.0015998,           0.0015998,              0.0855
                  18,            0.053397,            0.019224,                   0,              0.9994,                 0.8,             0.85697,             0.45579,            0.043586,            0.020807,                   0,            0.001688,            0.001688,            0.084688
                  19,            0.057999,             0.01718,                   0,             0.76524,             0.66667,             0.70062,             0.17583,            0.054836,            0.019141,                   0,           0.0017759,           0.0017759,            0.083876
                  20,            0.056323,            0.015024,                   0,             0.85699,                 0.8,             0.82744,             0.30689,            0.044748,            0.020243,                   0,           0.0018636,           0.0018636,            0.083064
                  21,            0.052654,            0.015918,                   0,             0.60797,             0.72417,             0.64883,             0.22732,            0.048377,              0.0199,                   0,            0.001951,            0.001951,            0.082251
                  22,            0.049259,            0.016728,                   0,             0.76622,             0.65624,             0.72227,             0.20679,            0.054795,            0.018549,                   0,           0.0020382,           0.0020382,            0.081438
                  23,            0.053762,            0.017839,                   0,                   1,             0.66588,              0.8311,             0.33956,            0.048901,            0.018686,                   0,           0.0021252,           0.0021252,            0.080625
                  24,            0.054036,            0.016262,                   0,             0.72138,             0.86325,             0.67743,             0.17239,            0.050178,            0.018343,                   0,           0.0022119,           0.0022119,            0.079812
                  25,            0.053869,            0.015188,                   0,             0.80991,             0.86667,             0.81567,             0.37628,             0.04011,            0.019392,                   0,           0.0022982,           0.0022982,            0.078998
                  26,            0.051865,            0.015351,                   0,             0.62214,                 0.8,             0.68074,             0.27522,            0.047259,            0.018211,                   0,           0.0023843,           0.0023843,            0.078184
                  27,            0.050564,            0.015927,                   0,             0.81103,             0.86667,              0.7989,             0.32911,            0.045626,            0.017899,                   0,           0.0024701,           0.0024701,             0.07737
                  28,            0.053025,            0.015896,                   0,             0.66014,                 0.8,             0.67787,             0.22192,            0.056242,            0.016351,                   0,           0.0025556,           0.0025556,            0.076556
                  29,            0.051991,            0.015815,                   0,             0.59982,             0.79942,             0.61067,             0.18477,            0.042137,            0.017906,                   0,           0.0026408,           0.0026408,            0.075741
